Date,Company Code,Company Name,Stock Price
2024-06-07,,GameStop Corp,$46.55
2024-06-07,,Nio Inc - ADR,$4.91
2024-06-07,,Palantir Technologies Inc,$23.79
2024-06-07,,iShares Silver Trust,$28.53
2024-06-07,,Taiwan Semiconductor Mfg. Co. Ltd.,$162.07
2024-06-07,,Lloyds Banking Group PLC,$2.83
2024-06-07,,Xpeng Inc - ADR,$8.36
2024-06-07,,Nokia Oyj,$3.95
2024-06-07,,Barrick Gold Corp,$17.32
2024-06-07,,Coeur Mining Inc,$5.91
2024-06-07,,Alibaba Group Holding Ltd - ADR,$80.01
2024-06-07,,Sibanye Stillwater Ltd,$4.67
2024-06-07,,Lufax Holding Ltd - ADR,$2.42
2024-06-07,,Carnival Corp,$16.62
2024-06-07,,ZIM Integrated Shipping Services Ltd,$19.34
2024-06-07,,B2Gold Corp,$2.78
2024-06-07,,Vertiv Holdings Co,$88.00
2024-06-07,,CRH PLC,$77.36
2024-06-07,,SPDR S&P 500 ETF Trust,$534.66
2024-06-07,,Tencent Music Entertainment Group - ADR,$14.55
2024-06-07,,Hecla Mining Company,$5.80
2024-06-07,,Dell Technologies Inc,$133.96
2024-06-07,,Unity Software Inc,$18.03
2024-06-07,,UiPath Inc,$12.25
2024-06-07,,Fortuna Silver Mines Inc,$5.29
2024-06-07,,Novo Nordisk A/S,$142.40
2024-06-07,,Newmont Corporation,$42.50
2024-06-07,,BP plc,$35.45
2024-06-07,,Samsara Inc,$34.86
2024-06-07,,Norwegian Cruise Line Holdings Ltd,$18.17
2024-06-07,,Nu Holdings Ltd,$12.14
2024-06-07,,Uber Technologies Inc,$68.90
2024-06-07,,Vale SA,$11.62
2024-06-07,,Sprinklr Inc,$9.20
2024-06-07,,Infosys Ltd ADR,$17.54
2024-06-07,,Coupang Inc,$21.89
2024-06-07,,Hims & Hers Health Inc,$21.57
2024-06-07,,Shopify Inc,$61.46
2024-06-07,,Bank of America Corp,$39.70
2024-06-07,,Salesforce Inc,$242.76
2024-06-07,,Bristol-Myers Squibb Co,$40.88
2024-06-07,,GSK plc,$41.54
2024-06-07,,Pfizer Inc,$28.80
2024-06-07,,Ford Motor Co,$12.07
2024-06-07,,C3.ai Inc,$29.93
2024-06-07,,Snowflake Inc,$132.04
2024-06-07,,Kinross Gold Corp,$7.99
2024-06-07,,Altria Group Inc,$46.69
2024-06-07,,Devon Energy Corp,$46.76
2024-06-07,,Medical Properties Trust Inc,$5.57
